name,type,latitude,longitude
Warehouse 1,warehouse,44.9788,-93.2655
Warehouse 2,warehouse,44.9758,-93.266
Warehouse 3,warehouse,44.9828,-93.265
Warehouse 4,warehouse,44.9808,-93.2645
Warehouse 5,warehouse,44.9798,-93.2635
Farm 1,farm,44.974,-93.261
Farm 2,farm,44.973,-93.262
Farm 3,farm,44.972,-93.263
Farm 4,farm,44.971,-93.264
Farm 5,farm,44.97,-93.265
Farm 6,farm,44.969,-93.266
Farm 7,farm,44.968,-93.267
Farm 8,farm,44.967,-93.268
Farm 9,farm,44.966,-93.269
Farm 10,farm,44.965,-93.27
Homeless Shelter 1,homeless shelter,44.964,-93.271
Homeless Shelter 2,homeless shelter,44.963,-93.272
Homeless Shelter 3,homeless shelter,44.962,-93.273
Homeless Shelter 4,homeless shelter,44.961,-93.274
Homeless Shelter 5,homeless shelter,44.96,-93.275
Homeless Shelter 6,homeless shelter,44.959,-93.276
Homeless Shelter 7,homeless shelter,44.958,-93.277
Homeless Shelter 8,homeless shelter,44.957,-93.278
Homeless Shelter 9,homeless shelter,44.956,-93.279
Homeless Shelter 10,homeless shelter,44.955,-93.28
